id,name,domain,confidence,verified,companies_api_name,description,all_candidates
203,"Hawkeye 360, Inc.",he360.com,exact,no,He360,"HawkEye 360 is developing a new, space-based global intelligence network that will use radio frequency (RF) technology to help monitor transportation across air, land and sea and assist with emergencies. Our constellation of small satellites in low Earth orbit (LEO) will collect information on specific radio signals worldwide to provide high-precision radio frequency mapping and analytics that we can customize to our clients' needs. More information about the company can be found at www.he360.com.","he360.com(brandfetch,exact) aurorainsight.com(brandfetch,exact) live-hawkeye-360-2025.pantheonsite.io(logodev,exact) hawkeye-1.com(logodev) hawkeyeagency.ca(logodev) hawkeye-pipe.com(logodev) hawkeye.legal(logodev)"
168,"High Ground Tech, Inc.",highgroundgear.com,fuzzy,yes,High Ground Gear,"Topography is an advantage; so is speed; so is firepower; so is decentralized command and empowered subordinates. And nothing embodies this more than the concept of High Ground. Here in Philadelphia, our mission is to supply you with advantage on the battlefield, so that when you use High Ground gear, you know that you've gathered as many advantages that gear can avail you.",highgroundgear.com(logodev) highgroundroofing.com(logodev) hightechhigh.org(logodev) highgroundadb.wixsite.com(logodev) highgroundrc.com(logodev)
208,IriusRisk,iriusrisk.com,exact,yes,IriusRisk,"IriusRisk makes DevSecOps a reality with its pioneering threat modeling and SDL risk management platform. IriusRisk is a powerful tool to ensure security is woven into the design phase and followed up into production. It operates as a central orchestration point for teams to threat model and manage risk with real-time updates throughout the SDL. Built for integration, simplicity, scale, and speed, IriusRisk is the glue to bind Security, Operations & Development together. IriusRisk is a trusted partner of some of the largest financial institutions in the world and we pride ourselves on being fast to adapt, agile, flexible, responsive and ahead of the curve. IriusRisk operates globally and stands ready to partner with you. Contact us for more information and to request a demo.","iriusrisk.com(brandfetch,exact) continuumsecurity.net(brandfetch,exact) iriusrisk.com(logodev,exact) iriusrisk.de(logodev,exact) iriusrisk.academy(logodev,exact)"
201,"IriusRisk, S.L.",iriusrisk.com,fuzzy,yes,IriusRisk,"IriusRisk makes DevSecOps a reality with its pioneering threat modeling and SDL risk management platform. IriusRisk is a powerful tool to ensure security is woven into the design phase and followed up into production. It operates as a central orchestration point for teams to threat model and manage risk with real-time updates throughout the SDL. Built for integration, simplicity, scale, and speed, IriusRisk is the glue to bind Security, Operations & Development together. IriusRisk is a trusted partner of some of the largest financial institutions in the world and we pride ourselves on being fast to adapt, agile, flexible, responsive and ahead of the curve. IriusRisk operates globally and stands ready to partner with you. Contact us for more information and to request a demo.",iriusrisk.com(logodev) iriusrisk.de(logodev) iriusrisk.academy(logodev) slworld.com(logodev) dinahosting.com(logodev)
140,"Jazz, Inc.",flyjazz.ca,exact,yes,Jazz Aviation LP,"We operate more flights and fly to more Canadian destinations than any other carrier. We are the only airline serving 10 provinces and 2 territories. As an integral part of Air Canada's strategy and North American market presence, Jazz provides service to and from many smaller communities in Canada and the United States under the brand name Air Canada Express. As well, we operate to larger centres at off-peak times as a complement to Air Canada's schedule. Jazz is not a typical airline. We have a commercial agreement with Air Canada that is the core of our business. Under the Capacity Purchase Agreement (CPA), Air Canada purchases substantially all of Jazz's seat capacity based on predetermined rates. In reality, we are a contract carrier for Air Canada and operate our flights on their behalf. The CPA provides commercial flexibility and connecting network traffic to Air Canada, while significantly reducing Jazz's financial and business risks. Our fleet consists of Canadian-made Bombardier Dash 8, CRJ and Q400 NextGen aircraft, which are among the most efficient aircraft flying today. Our CRJ705 aircraft are equipped with in-seat personal entertainment systems, enabling you to choose from a wide selection of television shows, movies and satellite radio channels to make your flight experience with Jazz more enjoyable. Our team of dedicated Jazz professionals is focused on providing you with a safe, on-time and customer-friendly flight experience.","applytojob.com(brandfetch) montreuxjazzfestival.com(brandfetch) jazzpharma.com(brandfetch) nojazzfest.com(brandfetch) leopolisjazz.com(brandfetch) flyjazz.ca(logodev,exact) jazzandheritage.org(logodev,exact) jazztx.com(logodev,exact) jazz.com(logodev,exact) jazz.security(logodev,exact)"
188,"Joyride AI, Inc.",joyride.city,fuzzy,yes,Joyride,,joyride.city(logodev) onjoyride.com(logodev) joyridesweets.com(logodev) joyridecoffee.com(logodev) joyride.exchange(logodev)
145,MERLIN NATIVE I LLC,merlinlabs.com,fuzzy,yes,Merlin Labs,"Contract diagnostic test developer and contract diagnostic test manufacturer that offers malaria tests, dengue tests, Flu A tests and RSV tests for sale outside the US.",merlinlabs.com(logodev) merlin.ro(logodev) merlinnetwork.org(logodev) merlin.com(logodev) merlinleonard.com(logodev)
126,Neo Security Inc,neosecurity.com.br,exact,no,,,"neosecurity.com.br(brandfetch,exact) neosecurity.nl(logodev,exact) neo-security.fr(logodev,exact) neo-secure.com(logodev,exact) neo-security.ch(logodev,exact) neosecurity.com.au(logodev,exact)"
178,"PagePort, Inc.",pageport.com,exact,yes,Pageport,,"pageport.com(brandfetch,exact) pageport.co(brandfetch,exact) pageportal.biz(brandfetch) pageport.com(logodev,exact) dwell.so(logodev)"
169,"Pest Share, Inc.",pestshare.com,exact,no,,,"pestshare.com(brandfetch,exact) gopestshare.com(brandfetch,exact) joinpestshare.xyz(brandfetch,exact) getpestshare.xyz(brandfetch,exact) pestshare.com(logodev,exact) residentpestcontrol.co(logodev,exact) 3sharecorp.com(logodev) share.eu(logodev) sharecommunitydevelopmentcorp.com(logodev)"
171,Previ Inc.,previ.com,exact,no,,,"previewsworld.com(brandfetch) previews-app.com(brandfetch) bps.gub.uy(brandfetch) previo.app(brandfetch) previ.com(logodev,exact) previ.com.br(logodev,exact) previstart.com(logodev,exact) previdelcentro.com(logodev,exact) previpremoldados.com.br(logodev,exact)"
172,"Rebuy, Inc.",rebuy.de,exact,yes,rebuy.de,"With one million registered users, more than eight million different products sold reBuy.de is the easy-to-use online reCommerce retailer in Germany. It all started with an idea of two students and increased into a million dollar vision. The first storage consisted of a simple billy shelf from ikea, filled with a couple of video games. Within the years, the shelf turned into a 10.000qm² large logistics center in Berlin where customers can choose from over one million articles in 10 categories. Today reBuy.de is one of the leading players in European reCommerce industry with 400 employees in its Berlin headquarters and grew up into a powerful business.","rebuyengine.com(brandfetch) rebuystars.com(brandfetch) rebuyers.org(brandfetch) rebuy.de(brandfetch,exact) rebuy.de(logodev,exact) rebuy.nl(logodev,exact) rebuy.it(logodev,exact) rebuy.fr(logodev,exact) rebuy.com.br(logodev,exact)"
173,"Redo Tech, Inc.",getredo.com,fuzzy,yes,redo terminal,Re:do enables companies and their customers to process their returns and exchanges free and automatically.,getredo.com(logodev) redoio.info(logodev) redoapp.es(logodev) redorev.se(logodev) redomybrand.com(logodev)
174,"Revin, Inc",revin.ai,exact,no,,,"revinate.com(brandfetch) inguest.com(brandfetch) revino-app.com(brandfetch) revinfotech.com(brandfetch) revinc.com(brandfetch) revin.ai(logodev,exact) revinlabs.ai(logodev,exact) revin.com(logodev,exact) getrevin.com(logodev,exact) revin.pl(logodev,exact)"
202,SEMPERIS LTD.,semperis.com,exact,yes,Semperis,"Semperis is an enterprise identity protection company that enables organizations to quickly recover from accidental or malicious changes and disasters that compromise Active Directory, on-premises and on cloud. The Semperis Directory Services Protection Platform™ provides enterprises with the capabilities to automatically restore an entire Active Directory forest, quickly recover thousands of objects or a single crucial attribute, and instantly revert to a previous Active Directory state. Semperis customers include Fortune 500 companies and enterprises spanning financial, healthcare, government and other industries worldwide.","semperis.com(brandfetch,exact) purple-knight.com(brandfetch,exact) semperisswagstore.com(brandfetch) semperis.com(logodev,exact) d27a6xpc502mz5.cloudfront.net(logodev,exact)"
177,Sevii Inc.,sevii.com,exact,yes,sevii,,"seviinreels.com(brandfetch) sevii.com(brandfetch) seviincosmetics.com(brandfetch) seviiassociates.com(brandfetch) sevii.com(logodev,exact) sevii.ai(logodev)"
148,Simply Robots Inc,simplyrobots.co.uk,exact,no,,,"simplyrobots.co.uk(brandfetch,exact) robotsandpencils.com(logodev) robotstxt.org(logodev) robotsguide.com(logodev) robots.net(logodev) robotserv.ai(logodev)"
179,"SpeedChain, INC",speedchain.com,exact,yes,speedchain,,"speedchain.com(brandfetch,exact) speedchain.com(logodev,exact)"
180,Spot Parking Inc.,spotparking.com.au,exact,yes,Spot Parking,"Spot: Parking Payment Made Easy Spot is a mobile application for cashless parking payment. No meters. No tickets. Designed to complement existing systems, Spot's ticketless solution is a huge win for parkers. With no need to walk back and forward to the meter, parking payment is now via the App from the convenience of the car, café or office. Built in alerts help protect you from fines and remotely extending a session saves on unnecessary dashes to the car. Asset owners also win with reduced reliance on meters with subsequent saving on upgrades cycles and maintenance.","spotparking.com.au(brandfetch,exact) primespotparking.com(brandfetch) luckyspotparking.com(brandfetch) go2parkingspot.com(logodev) theparkingspot.com(logodev) parkingspot.gr(logodev) spotparking.com.au(logodev,exact) spotparking.app(logodev,exact)"
160,StrongSuit AI Inc.,strongsuit.co,fuzzy,yes,Strongsuit,,strongsuit.co(logodev) perplexity.ai(logodev) scale.com(logodev) manex.ai(logodev) mistral.ai(logodev)
159,"StrongSuit AI, Inc.",strongsuit.co,fuzzy,yes,Strongsuit,,strongsuit.co(logodev) perplexity.ai(logodev) scale.com(logodev) manex.ai(logodev) mistral.ai(logodev)
183,"Telenotes, Inc.",telenotes.com,single,yes,Telenotes,"The Personal Assistant CRM. Telenotes simplifies CRM by allowing your reps to talk, not type their data.",telenotes.com(brandfetch)
207,"ThreatModeler Holdings, Inc.",threatmodeler.com,fuzzy,yes,ThreatModeler,"Headquartered in the greater New York area, ThreatModeler Software Inc - was founded in 2010 by Anurag Agarwal, who has more than 20 years of experience in the security industry including co-authorship of the OWSP Testing Guide V3. Mr. Agarwal experienced firsthand the growing demands of organizations seeking quantifiable information and objectively measurable results in prioritizing their security and mitigation resources. Observing the lack of scalable, automated threat modeling solutions, Agarwal designed, developed ThreatModeler. The ThreatModeler platform is the industry's #1 automated threat modeling solution that enables a repeatable and scalable threat modeling process enterprise-wide. Through ThreatModeler's easy-to-understand dashboards and reports, threat data is presented in a format that is clear, concise, and actionable with role-based accessibility on a self-serve basis. Security team expertise is thereby scaled across all stakeholder functions, allowing enterprise-wide collaboration on the prioritization and management of risk across the entire IT ecosystem. ThreatModeler's unique architecturally-based framework also allows organizations to analyze and manage their comprehensive attack surface, including upstream threats and downstream impacts.",threatmodeler.com(logodev) threatmodeler.academy(logodev) bookingholdings.com(logodev) grab.com(logodev) awholdings.com(logodev)
206,"ThreatModeler Software, Inc.",threatmodeler.com,exact,yes,ThreatModeler,"Headquartered in the greater New York area, ThreatModeler Software Inc - was founded in 2010 by Anurag Agarwal, who has more than 20 years of experience in the security industry including co-authorship of the OWSP Testing Guide V3. Mr. Agarwal experienced firsthand the growing demands of organizations seeking quantifiable information and objectively measurable results in prioritizing their security and mitigation resources. Observing the lack of scalable, automated threat modeling solutions, Agarwal designed, developed ThreatModeler. The ThreatModeler platform is the industry's #1 automated threat modeling solution that enables a repeatable and scalable threat modeling process enterprise-wide. Through ThreatModeler's easy-to-understand dashboards and reports, threat data is presented in a format that is clear, concise, and actionable with role-based accessibility on a self-serve basis. Security team expertise is thereby scaled across all stakeholder functions, allowing enterprise-wide collaboration on the prioritization and management of risk across the entire IT ecosystem. ThreatModeler's unique architecturally-based framework also allows organizations to analyze and manage their comprehensive attack surface, including upstream threats and downstream impacts.","threatmodeler.com(logodev,exact) threatmodeler.academy(logodev,exact) softwareag.com(logodev) coupa.com(logodev) ezsoftwaresolutions.net(logodev)"
144,Torq Technologies Ltd.,torq.io,fuzzy,yes,Torq,,torq.io(logodev) torq.partners(logodev) gotorq.com(logodev) torqmasters.com(logodev) torq.co(logodev)
150,TWIN LABS,twinarborlabs.com,fuzzy,no,,,twinarborlabs.com(logodev) digitaltwinlabs.com(logodev) twinparadoxlabs.com(logodev) harvest-twin.store(logodev) twinharborlabs.com(logodev)
157,Uni Industries Inc.,uni-industries.com.au,fuzzy,yes,Uni Industries,"Uni-Industries specialise in Commercial & Residential Solar Systems. Budget to Premium, we've got you covered. Family owned and Operated for over 30 years. Servicing Sunshine Coast, Brisbane - Gold Coast and surrounding areas.",uni-industries.com.au(brandfetch) uniindustries.com.au(brandfetch) uniuni.us(logodev) uniselect.com(logodev) uni.com(logodev) uni.ca(logodev) uni-engineer.com(logodev)
197,"Valence Vibrations, Inc.",valencevibrations.com,exact,yes,Valence Vibrations,,"valencevibrations.com(brandfetch,exact) getvalenceai.com(brandfetch,exact) valencevibrations.com(logodev,exact) valence.co(logodev) valence.trade(logodev) careerexplorer.com(logodev) valence.com(logodev)"
181,"Virtu 3D, Inc.",virtu3d.io,exact,no,,,"virtu3d.io(brandfetch,exact) virtu3d.ai(brandfetch,exact) virtu.net(logodev) virtu3d.io(logodev) virtu.com(logodev) virtu.center(logodev) virtu3d.ai(logodev)"
182,Virtu Inc.,virtu.net,exact,yes,Virtu,"Virtunet is a premier Information and Communication Technology (ICT) company, providing complete IT solutions to a wide range of clients in the government, corporate and education sectors. We help our clients align their business processes and IT systems with their business goals by consistently delivering IT Solutions that improves their productivity most efficiently. Since our inception in 2008, our excellence has been recognised through multiple awards in the technology sector. We are a growing company and are always looking for enthusiastic, talented people to join our team. If you want to work in a fun, dynamic workplace, send your resume to hr@virtunet.com.au.","virtu.com(brandfetch) joinvdc.com(brandfetch) adition.com(brandfetch) foundryvtt.com(brandfetch) virtualvocations.com(brandfetch) virtu.net(logodev,exact) virtu3d.io(logodev,exact) virtu.com(logodev) virtu.center(logodev,exact) virtu3d.ai(logodev,exact)"
134,Vivid Security Ltd.,vividsecurity.ca,exact,no,,,"vividsecurity.ca(logodev,exact) vividhomes.co.uk(logodev) vivid.lol(logodev) seevividly.com(logodev) hellovivid.com(logodev)"
184,"Voze, Inc.",voze.com,exact,yes,Voze,,"voze.com(brandfetch,exact) vozer.vn(brandfetch) vozelia.com(brandfetch) vozes.com.br(brandfetch) vozesmeralda.com(brandfetch) voze.com(logodev,exact) voze.es(logodev,exact) voze-ev.com(logodev,exact)"
